lexmark.com,10000,46365,100447,6605
blend.com,100000,169481,253913,191622
miniatures.de,999001,0,0,671343
gridoto.com,2975,1000,27228,124118
christianmingle.com,50232,10000,626174,64159
felgendoc.ch,0,100000,0,0
0.client-channel.google.com,0,0,1000,0
static.parastorage.com,0,0,10000,0
m9.bzjjfrf.org,0,0,100000,0
warnerbros.com,1687,38321,180013,1000
plantronics.com,16425,0,257208,10000
studentaccommodationderry.co.uk,175993,0,0,100000
www.rundanang.com,0,0,999001,0
xn--80abghodqevfvln2fxc.xn--p1ai,0,0,0,999001
experthometips.com,289449,497490,0,209675